name,address,nature,nightlife,drink,music,dance,history,sports,art,museum,walk,restaurant,movie,Latitude,Longitude
Imperial War Museum,"Lambeth Road, London, United Kingdom",0,0,0,0,0,1,0,0,1,0,0,0,51.4960433,-0.113278
Bloomsbury Square Gardens,"London, United Kingdom",1,0,0,0,0,0,0,0,0,1,0,0,51.5074456,-0.1277653
Pump House Gallery,"London, United Kingdom",0,0,0,0,0,0,0,1,0,0,0,0,51.5074456,-0.1277653
Discover,"383-387 High Street, London, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,0,51.539026,-0.0001722
Dominion Theatre,268-269 Tottenham Court Rd.,0,0,0,1,0,0,0,1,0,0,0,0,51.5227818,-0.136439
Her Majesty's Theatre,Haymarket,0,0,0,1,0,0,0,1,0,0,0,0,55.9451838,-3.2193738
Victoria Palace Theatre,Victoria Street,0,0,0,1,0,0,0,1,0,0,0,0,44.9557403,-93.1364979
New Wimbledon Theatre,93 The Broadway,0,0,0,1,0,0,0,1,0,0,0,0,51.4192211,-0.2014217
Southbank Centre,"Belvedere Road, London, United Kingdom",0,0,1,0,0,0,0,1,0,0,0,0,51.505174,0.13266
Everyman Baker St,"96-98 Baker Street, London, United Kingdom",0,0,1,0,0,0,0,0,0,0,0,1,51.5205429,-0.1565668
Royal Albert Hall,Kensington Gore,0,0,0,1,0,0,0,0,0,0,0,0,51.5010667,-0.178161
Sadler's Wells,Rosebery Ave.,0,0,1,1,0,0,0,1,0,0,0,0,51.8491161,-2.2465696
The Gate Cinema,"87 Notting Hill Gate, London, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,1,51.5086889,-0.1972506
Richmond Theatre,Little Green,0,0,0,1,0,0,0,1,0,0,0,0,52.4959178,1.1313988
BAC (Battersea Arts Centre),Lavender Hill,0,0,1,0,0,0,0,0,0,0,0,0,37.4422733,-88.3689273
Polka Theatre,"240 The Broadway, London, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,1,51.4984458,-0.1331781
Clapham Picturehouse,"76 Venn Street, London, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,0,51.4625014,-0.1381521
Odeon Cinema Swiss Cottage,"96 Finchley Road, London, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,0,51.5424955,-0.1745718
Renoir Cinema,"The Brunswick, London, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,0,53.8020209,-1.537433
Rio Cinema,"107 Kingsland High Street, London, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,0,51.5496199,-0.0755805
Grosvenor Victoria Casino,"150-162 Edgware Road, London, United Kingdom",0,1,0,0,0,0,0,0,0,0,0,0,51.517212,-0.1654983
Vue,"Leicester Square, 3 Cranbourn Street, London, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,1,51.5112449,-0.1293677
Odeon Cinema Holloway,"419-427 Holloway Road, London, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,1,51.5586425,-0.1214617
Everyman Screen on the Green,"83 Upper Street, London, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,1,51.5368532,-0.1036648
Emirates Stadium,75 Drayton Pk,0,0,0,0,0,0,1,0,0,0,0,0,51.5550403,-0.1083997
Hackney Empire,291 Mare St.,0,0,0,0,0,0,0,0,0,0,0,0,51.5456229,-0.0557025
indigO2,Millennium Way,0,1,1,1,1,0,0,0,0,0,0,0,51.4988256,0.0023354
Theatre Royal Stratford East,Gerry Raffles Square,0,0,0,0,0,0,0,0,0,0,0,0,51.5425181,0.0004785
The Albany,Douglas Way,0,0,0,0,0,0,0,0,0,0,0,0,51.4775877,-0.0271032
